idx,English,Darija,MSA
40,I'm looking for a good restaurant for grilling. Can you indicate the locations of these restaurants on the map?,كا نقلب على شي مطعم زوين، وهادئ من نوع الشوا. واخا توريهم في هاد الخريطة؟,أبحث عن مطعم جيد ، للمشويات . هل يمكنك أن تشير إلى أماكن تلك المطاعم على الخريطة ؟
42,"You're breaking it, you're the one who bought it.",الا هرسته، خاصك تشريه.,أنت تقوم بكسرها ، فأنت الذي اشتريتها .
46,I will tell her to call you as soon as she arrives.,غادي نقول ليها تعيط ليك منين ترجع.,سوف أخبرها بأن تتصل بك بمجرد أن تصل .
50,Do you like to put cream and sugar in your coffee?,واش تبغي لاكريم و السكر في القهوة ديالك؟,هل تحب أن تضع قشدة وسكر في قهوتك ؟
51,She was seriously injured.,راها مضروبة بزاف.,لقد أصيبت إصابة بالغة .
52,I want a lighter.,بغيت بريكا.,أريد قداحة .
53,Does this hotel have conference facilities?,واش هاد الأوطيل فيه تجهيزات ديال المؤتمرات؟,هل لدى هذا الفندق تجهيزات للمؤتمرات ؟
56,Is it okay to have a snack?,واش ماشي مشكل ناخدو غير وجبة خفيفة؟,هل من المناسب أن نتناول وجبة خفيفة ؟
57,I'm calling from the airport. I'll get there around four o'clock.,كا نعيط من المطار. غادي نكون تما معا الربعة تقريباً.,أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .
62,Where will I change to Chicago?,منين نحول لشيكاغو؟,أين سأغير إلى شيكاغو .
63,How much does it cost to send a registered letter to France?,بشحال نقدر نصيفط رسالة مسجلة لفرنسا؟,كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟
64,Can you cash my $200 check?,تقدر تخلص الشيك ديالي ديال ميتين دولار؟,هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
68,Driving on the right side of the road is actually quite different.,السياقة مختالفة بزاف من الجنب ليمن ديال الزنقة.,إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .
69,The actor was really great.,الممثل واعر بزاف.,كان الممثل رائعا بالفعل .
72,Where is the non-imaginative side of your personality?,فين هو القسم ديال الكتاب الواقعي؟,أين الجانب غير الخيالي في شخصيتك ؟
74,"If this happens, please contact me.",إلا خصو يبان، عيط ليا عفاك.,إذا حدث ذلك ، من فضلك أتصل بي .
78,Could you change my seat please?,تقدر تبدل ليا البلاصة عفاك؟,هل يمكن أن تغير مقعدي من فضلك ؟
79,Is there a guarantee?,واش كاين شي ضمانة؟,هل هناك ضمانا ؟
83,"Excuse me, I will take care of the dog.",سمح ليا، غادي نتهلا في الكلب.,"عفوا , أنا سأعتني بالكلب ."
84,I want two tickets for the cats for Thursday.,بغيت جوج وراق ل''كاتس ''، لهاد الخميس.,أريد تذكرتين للقطط ليوم الخميس .
86,Where is the cafe?,فين القهوة؟,أين المقهى ؟
87,I want a jacket for the kids.,بغيت تريكو ديال الدراري الصغار.,أريد جاكيت للأطفال .
89,Your name again?,شنو سميتك مرة خرا؟,اسمك مرة ثانية ؟
90,Is Mr. Bron there?,واش كاين مستر براون؟,هل مستر برون هناك ؟
91,Good . It costs eighty-five dollars in regular mail and three dollars in special delivery.,واخا. كايدير خمسة و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
92,Can I rent a boat for a day?,نقدر نكري باطو لنهار؟,هل يمكن أن أؤجر قارب ليوم ؟
93,At which window can I make a reservation?,في إينا شرجم نقدر نحجز؟,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟
94,What is this ?,شنو هوا هاذا؟,ما هذا ؟
96,Can you tell me how I can get to the opera?,تقدر تقول ليا منين نمشي للأوبيرا؟,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟
97,"Weren't you a little drunk last night, my dear?",ماكنتيش شويا سكران لبارح، أحبيبي؟,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟
98,Please follow the instructions issued by our staff.,عفاك تبع التعليمات ديال الطاقم ديالنا.,من فضلك اتبع التعليمات الصادرة من موظفينا .
100,Is there a department store near here?,واش كاين شي متجر شامل قريب من هنا؟,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .
102,"Fill the fuel tank, please.",عمر، عافاك.,املأ خزان الوقود من فضلك .
103,Is there a room at a cheaper price?,واش كاينا شي غرفة أرخص؟,هل يوجد غرفة بسعر أرخص ؟
104,The best car with an automatic transmission system.,كا نفضل سيارة اوطوماتيك.,أفضل سيارة بها نظام إلي لنقل الحركة .
105,I will be staying in Harvard University's dormitory.,غادي نبقا في السكن الداخلي ديال جامعة هارفرد.,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .
106,What is the exchange rate today?,شنو هوا المعدل ديال هاد النهار؟,ما هو سعر الصرف اليوم ؟
108,I suffer chronically from asthma.,كا نعاني من مرض الضيقة المزمنة.,أعاني بشكل مزمن من الربو .
109,I have about three thousand dollars.,عندي تقريباً تلاتة آلاف دولار.,معي حوالي ثلاثة آلاف دولاراً .
111,Okay Sir . It comes with two options: French fries or spiced rice and meat. Which do you like?,واخا، أسيدي. كا يجي معا فريت أو الروز. إينا واحد تبغي؟,حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟
112,How do I get to that place?,كيفاش نقدر نمشي لهاد لبلاصة؟,كيف أصل إلى ذلك المكان ؟
113,What kind of story is it?,إينا نوع ديال القصة هذا؟,أي نوع من القصص هي ؟
115,three times .,تلاتة ديال المرات.,ثلاث مرات .
116,Which window sells stamps?,إينا شرجم كاي بيع التنابر؟,أي نافذة تبيع الطوابع ؟
117,"After he attacked me, he fled in a white truck.",من بعد ما هجم عليا، هرب في سيارة بيضا.,بعد أن هاجمني ، هرب في شاحنة بيضاء .
119,Good . Please keep this coupon and present it when you make your selection.,واخا. خلي عندك هاد البطاقة و قدمها منين تبغي تجي تديه.,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .
120,I would buy this if I were you?,كون كنت فبلاصتك كون شريتو.,كنت سأشتري هذا إن كنت في مكانك ؟
122,Two hundred dollars. Immediately or via credit cards.,ألفين دولار. فلوس ولا بطاقة بنكية؟,مائتي دولار . فوري أم عبر البطاقات الائتمانية .
125,How long does it take a ship to cross this ocean?,بشحال الركبة فداك الضاية؟,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟
128,Do I have to avoid certain types of food while taking this medicine?,واش خصني نتجنب شي نوع ديال الماكلة فاش ناكل هاد الدوا؟,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟
129,Do you have women's toe shoes?,واش غادي نلقا شي صعوبة مع الديوانا؟,هل لديك أحذية حريمي عند أصابع القدم ؟
130,Will I face any difficulties at customs?,واش عندك صبابط رسمية واسعة عند الصبع؟,هل ستواجهني أية صعوبات في الجمارك ؟
131,May I have some red wine?,ممكن تعطيني شي مشروب؟,هل لي ببعض النبيذ الأحمر ؟
133,Tell me when we get to the museum.,منين نوصلو للمتحف قولها ليا.,أخبرني عندما نصل إلى المتحف .
134,Does this bus go to the Sheraton Hotel?,واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .
135,What did this lead to?,شنو كاي عني داكشي؟,إلى أي شيء وصل ذلك الأمر ؟
136,It's a little hot. May I open the window ?,كاين الصهد شوية. واش نقدر نحل الشرجم؟,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟
138,Just a shower is enough.,غير الدوش ماشي مشكل.,فقط دش يكفي .
139,My eyes are a little red.,عيني حمرين بزاف.,عيني محمرة قليلا .
140,"No, may I suggest taking a room with two beds for single use? We have one.",لا. نقدر نقتارح ثنائية لواحد؟ عندنا وحدة.,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
142,"I cannot confirm this, but we will do our best.",منقدرش نضمن هادشي، ولكن غادي نديرو جهدنا.,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .
143,"I want close waves in my hair, please.",بيرمانونت مجهد، عافاك.,أريد تمويج متقارب لشعري ، من فضلك .
144,The sea was far below.,البحر كان كاي بان لتحت .,كان البحر إلى الأسفل من بعيد .
145,She wants a beer.,بغات بيرا.,هي تريد بيرة .
146,You need to have an operation.,خاصك عملية.,أنت بحاجة إلى إجراء عملية .
147,More eggs please.,زيدني البيض، عفاك.,المزيد من البيض من فضلك .
148,Where is the bus stop to Central Park?,فين هيا محطة الطوبيس ديال سنطرال بارك؟,أين محطة الأتوبيس المتجه إلى سنترال بارك ؟
149,Taxi ?,طاكسي؟,سيارة أجرة ؟
151,"Here's your key, sir. Room fifty-six twelve.",ها هو الساروت ديالك أسيدي. الغرفة خمسالاف و ستميا و طناش.,ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .
153,Love your jacket.,عجبني التريكو ديالك.,أحب الجاكت الخاص بك .
154,I continue .,تفضل.,استمر .
155,"Here we are, this is your hotel.",ها حنا وصلنا. ها هو الأوطيل ديالك.,ها نحن قد وصلنا هذا هو فندقك .
156,When did the basketball game start?,وقتاش الماتش ديال الباسكيط؟,متى بدأت مباراة كرة السلة ؟
157,Good morning . How are you .,صباح الخير. كي داير؟,صباح الخير . كيف حالك .
158,"Sorry, I need to see any identification documents.",سمح ليا خصني نشوف شي وثيقة ديال الهوية.,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
159,What was your impression?,شنو كان الإنطباع ديالك؟,ماذا كان انطباعك ؟
160,certainly . Do you want to have coffee with dinner or after?,معلوم. تبغي القهوة ديالك معا العشا ولا من بعد؟,بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟
161,I'm taking flight 12 to Tokyo.,غادي ناخد الرحلة طناش لطوكيو.,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .
162,"I would like to make an international call, please?",بغيت ندير مكالمة بعيدة، عفاك.,أود إجراء مكالمة دولية ، من فضلك ؟
163,Five months .,خمس شهور.,خمسة أشهر .
168,On what days of the week does it take place?,ف إينا نهارات كا تكون؟,في أي أيام الأسبوع تتم ؟
169,What kind of clothes?,إينا نوع ديال الصوص؟,أي نوع من الملابس ؟
170,This is rather cool. Can you heat it?,هادشي بارد شوية. واخا تسخنو؟,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
172,I want some hair styling gel.,بغيت شي جيل ديال الشعر.,أريد بعض الجل المصفف للشعر .
173,"Sorry, this place is already booked.",سمح ليا. هاد البلاصة عامرة.,أسف ، هذا المكان محجوز بالفعل .
174,Can we see the list?,نقدرو نشوفو شي قايمة ديال الماكلة؟,هل لنا أن نطلع على القائمة ؟
175,My size is six.,قياسي هوا ستا.,مقاسي ستة .
176,"I'm serious, but would you mind calling a friend?",انا بخير. و لكن واش تقدر تعيط لصاحبي؟,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟
177,"Thanks, that's enough.",شكراً. باراكا.,شكراً ، هذا يكفي .
178,Won't any taxi stop unless you wait in the parking lot?,حتا طاكسي ماغادي يوقف حتا تسناه في المحطة ديال الطاكسيات.,لن يقف أية سيارة أجرة ما لم تنتظر في موقف السيارات ؟
179,My budget does not exceed fifty dollars a night.,الميزانية ديالي أقل من خمسين دولار في الليلة.,ميزانيتي لا تتجاوز الخمسون دولاراً في الليلة .
180,Shall we take a picture together?,واخا تاخد تصويرة معايا؟,هل سنأخذ صورة معا ؟
181,How much is the fee for this service?,شحال كادير هاد الخدمة؟,كم تبلغ رسوم هذه الخدمة ؟
182,Did total sales in North America increase by more than five percent?,واش المبيعات فأمريكا الشمالية زايدة باكثر من خمسة فالمائة؟,هل ارتفع إجمالي المبيعات في أمريكا الشمالية بما يزيد عن خمسة بالمائة ؟
184,who is your best friend ?,شكون هوا اقرب صديق ديالك؟,من هو أفضل صديق لك ؟
186,"Did you know that one of the largest sumo tournaments, a type of traditional Japanese wrestling, is an American tournament?",واش فخبارك بلي واحد من أكبر أبطال السومو، نوع من القتال الياباني التقليدي للمصارعة، ميريكاني؟,هل تعلم أن أحد أكبر بطولات السومو ، نوع من المصارعة اليابانية التقليدية ، بطولة أمريكية ؟
187,Sports Health Day is October 10th and is a national holiday whose purpose is to improve the health of citizens.,يوم الصحة والرياضة عشرة اكتوبر هو عيد وطني مديور على قبل صحة الناس.,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .
188,Is this for Wall Street?,واش هادا ديال وول ستريت؟,هل هذا خاص بوول ستريت ؟
189,I would like to rent this from December 5th to 10th.,بغيت نكريه من خمسة حتال عشرة ديسمبر.,أرغب في تأجير هذه من الخامس حتى العاشر من ديسمبر .
191,"Good condition, how are you, ma'am?",واخا. و أنتي، أ لالة؟,بحالة جيدة ، وكيف حالك أنت ، يا سيدتي ؟
192,Do you want me to check the car's engine?,واش بغيتيني نقلب تحت الكوفر؟,هل تريد أن افحص موتور السيارة ؟
195,sugar ?,السكر؟,سكر ؟
196,Can I pay via MasterCard?,واش نقدر نخلص ب ماسطر كارظ؟,هل يمكنني أن ادفع عن طريق الماستر كارد ؟
198,Is this the baggage collection area for NW flight nine zero seven?,واش من هنا كا يهزو الامتعة ديال ان دبليو تسعود صفر سبعة؟,هل هذا هو المكان المخصص لجمع الحقائب الخاصة برحلة ان دبليو رقم تسعة صفر سبعة ؟
199,I'll take this type.,غادي ناخد هاد الماركة.,سآخذ هذا النوع .
204,I am very happy that I was able to come to this country.,انا فرحان بزاف حيت قدرت نجي لهاد البلاد.,إنني سعيد جداً لأنني تمكنت من المجيء إلى هذا البلد .
205,My name and address are on it.,سميتي و العنوان ديالي راه فيها.,اسمي وعنواني موجودين عليها .
206,Can you help me reach my bag?,واخا تعاوني نقلب على الباليزا ديالي؟,هل لك أن تساعدني في الوصول إلى حقيبتي ؟
207,What kind of stones are these?,إينا نوع ديال الحجر هادا؟,أي نوع من الأحجار هذه ؟
208,"I would like to point out that our government deals severely with the so-called boat people. I realized that Japan is already too overpopulated to host these uninvited guests. But on the other hand, many of our industrial sectors need a workforce.",بغيت نشير على أن الحكومة ديالنا قاصحة مع الناس المدعوون لاجئي القوارب. لاحظت بلي اليابان أصلاً مكتضة بالناس بزاف باش تخلي هاد الضياف لي ما عرض عليهم حتى حد يخلو. و لكن، من جهة اخرى، بزاف ديال الميادين الصناعية ديالنا محتاجة لمصادر اليد العاملة.,أود أن أشير إلى أن حكومتنا تتعامل بشدة مع من يطلق عليهم أناس المراكب . لقد أدركت أن اليابان بالفعل به زيادة سكانية بالدرجة التي لا تسمح باستضافة هؤلاء الضيوف غير المدعوين . لكن ومن ناحية أخرى ، فإن العديد من القطاعات الصناعية لدينا بحاجة إلى يد عاملة .
209,"From this mountain, you can see the entire city. During this season many types of flowers bloom - they look very beautiful.",من الجبل، تقدر تشوف المدينة كاملة، غير فهاد الموسم هادا، أنواع كثيرة من الأزهار كاتكبر، و كايكونو زوينين بزاف.,من هذا الجبل ، تستطيع رؤية المدينة بأكملها . خلال هذا الموسم العديد من أنواع الزهور تزدهرـ إنها تبدو جميلة جداً .
213,Follow me .,تبعني.,اتبعني .
217,Please tell him you Yamada has called.,عافاك قول ليه ياماضا عيطات.,من فضلك أخبريه أنت يامادا قد اتصل .
221,Will you make arrangements in advance?,واخا دير الترتيبات مسبقاً؟,هل ستقوم بعمل الترتيبات مقدماً ؟
224,"Ok, please put this data here. Was it one bag?",واخا. عافاك عمر هاد المعلومات هنا. واش كانت حقيبة وحدة؟,حسنا ، من فضلك ضع هذه البيانات هنا . هل كانت حقيبة واحدة ؟
225,"Do you want to eat beef, chicken, or fish?",شنو تبغي، اللحم، الدجاج ولا الحوت؟,هل ترغب في تناول لحم بقري ، دجاج ، أم أسماك ؟
227,Is it possible to take different routes to and from?,واش ممكن أخد طريق مختالفة في المشي و المجي؟,هل من الممكن أن تأخذ طرق مختلفة للذهاب والعودة .
228,Is there a snack bar here?,واش كاين شي سناك بار هنايا؟,هل يوجد مطعم للوجبات الخفيفة هنا ؟
229,Sorry sir. I would like to explore some of the tourist places in Boston.,سمح ليا، أ سيدي . بغيت ندير شي سياحة في بوسطن.,عذراً يا سيدي . أود استطلاع بعض الأماكن السياحية الموجودة في بوسطن .
232,Do you have a menu in Japanese?,واش عندك قايمة ديال الماكلة باليابانية؟,هل لديك قائمة باللغة اليابانية .
235,It's five minutes past one .,هادي الوحدا و قسم.,إنها الواحدة وخمس دقائق .
238,"Help me, thank you.",كاين لي معاوني. شكراً.,تقدم إلىّ المساعدة ، شكراً لك .
239,I want a painkiller.,بغيت شي مهدئ.,أريد مسكن للألم .
240,Who is your favorite actress .,شكون هيا الممثلة المفضلة ديالك؟,من هي الممثلة المفضلة لديك .
241,I want an oval one?,بغيت شي واحد بيضوي.,أريد واحدة بيضاوية الشكل ؟
242,What kind of music do they play there?,إينا نوع ديال الموسيقا كاي ديرو تما؟,ما نوع الموسيقى التي يعزفونها هناك ؟
243,"I don't like this color, please show me another color.",ماعجبنيش اللون. وريني واحد آخر، عافاك.,لا أحب هذا اللون ، من فضلك أرني لوناً آخر .
246,Please take me to the morning market.,عافاك ديني للسوق ديال الصباح.,من فضلك خذني إلى السوق الصباحية .
248,The frame of my glasses was broken.,الإطار ديال نضاضري تهرس.,الإطار الخاص بنظارتي قد كسر .
250,From three o'clock.,من التلاثة بيلا.,من الساعة الثالثة .
252,"great . I have a window seat. Oh, if you'd like to swap seats then, miss.",مزيان. عندي بلاصة ديال الشرجم. أوه، إيلا بغيتي تبادلي بالبلايص من بعد، ألالة.,"عظيم . لدي مقعد بجوار النافذة . آه ، إذا كنت ترغبين في تبادل المقاعد بعد ذلك , يا آنسة ."
255,I enjoyed our reconnaissance tour of New York's tourist attractions yesterday.,عجبني السياحة في نيويورك البارح.,لقد استمتعت بجولة الاستطلاع للأماكن السياحية في نيويورك بالأمس .
256,I admire the blue bag in the display window.,انا مهتم بالصاك لي في الشرجم.,أنا معجب بالحقيبة الزرقاء الموجودة في شباك العرض .
258,Contact the building owner if you encounter any problems.,تاصل بمول الشي إيلا عندك أي مشكل.,اتصل بصاحب المبنى إذا واجهتك أية مشكلة .
259,"Shampoo and style it as it is now, please.",عطيني شمبوان و قادو كيف ما هو دابا، عافاك.,"اغسله بالشامبو وقم بتصفيفه كم هو الآن , من فضلك ."
261,"When you get there ask someone else, please.",منين توصل تما سول شي واحد آخر عافاك.,عندما تصل هناك أسأل شخص آخر ، من فضلك .
263,Please tell me the fastest way to get to San Francisco.,عافاك قول ليا اسرع طريق ل سان فرانسيسكو.,من فضلك أخبرني بأسرع طريقة للوصول إلى سان فرنسيسكو .
267,Can I have the key to room number two fifteen?,واخا تعطيني الساروت ديال الغرفة مياتاين و خمصطاش؟,هل أستطيع الحصول على مفتاح الحجرة رقم اثنان خمس عشرة ؟
268,"Excuse me, can you take pictures of me?",سمح ليا. واخا تصورني عافاك؟,معذرة ، هل يمكنك أن تلتقط صوراً لي ؟
269,Just write a room number and sign here.,غير اكتب رقم الغرفة ديالك و سيني هنايا.,فقط أكتب رقم غرفة ووقع هنا .
271,"The color is acceptable, but the size is incorrect. Is it possible to change it within an hour?",اللون مزيان، ولكن القياس ماشي هوا هاداك. تقدر تبدلها من هنا ساعة؟,اللون مقبول ، لكن المقاس غير صحيح . هل من الممكن أن تقوم بتغيرها في خلال ساعة ؟
272,We will be waiting for you on that day.,تسنيناك داك نهار.,سنكون في انتظارك في ذلك اليوم .
274,We have enough to last us for two days.,عندنا لي يكفينا ليومين.,لدينا ما يكفينا للاستمرار لمدة يومين .
275,I can't understand that.,مافهمتش هادشي.,لا أستطيع أن أفهم ذلك .
277,How can I return again to my destination and intended place?,كيفاش نقدر نرجع لبلاصتي؟,كيف أستطيع أن أرجع مرة أخرى إلى وجهتي والمكان المقصود ؟
278,Is this tax deductible?,واش معفي من الضريبة؟,هل هذا معفى من الضرائب ؟
279,Good . They must play additional innings until the tie is ended.,خصهوم يلعبو شي طروحة اخرين حتا واحد فيهم يربح.,حسناً . إن عليهم أن يقوموا بلعب أدوار إضافية حتى يتم إنهاء حالة التعادل .
280,"I want the extension twenty-four, please.",بغيت تمديد ديال اربعة و عشرين، عافاك.,أريد الامتداد أربع وعشرون ، من فضلك .
281,Can you spell it?,تقدر تتهجاها؟,هل يمكنك أن تتهجها ؟
285,Here are two dollars. Keep the change .,هاهيا جوج دولار. خلي ليك الباقي.,تفضل هذان دولاران . احتفظ بالباقي .
286,When is lunch?,وقتاش العشا؟,متى الغداء ؟
287,Sorry this is too much for me?,سمح ليا هاداك بزاف عليا.,أسف هذا كثير بالنسبة لي ؟
288,Where do I start to get to Union Square?,فين ننزل ليونيون سكوير؟,من أين أبدأ كي أصل إلى ميدان ينيون ؟
290,You can inquire at the rental office located there.,تقدر تسول في بلاصة الكرا تماك.,يمكن أن تستفسر من مكتب التأجير الموجود هناك .
293,"Hey, Jane. Can you two take all the things to the cleaners?",السلام، جين . تقدري تاخدي هادو للمنظفات؟,هيه ، جاين . هل يمكنكما أخذ كل الأشياء إلى عمال النظافة ؟
296,I am on vacation .,انا في عطلة.,أنا في إجازة .
298,no . I am planning to visit Paris on my way back to my homeland.,لا. كا نفكر نزور باريس وانا راجع فحالي.,لا . أنا أخطط لزيارة باريس في طريق عودتي إلى وطني .
299,Are you taking her with you or will we have to send her?,واش غادي تديه معاك ولا نصيفطوه؟,هل ستأخذها معك أم سيكون علينا أن نرسلها ؟
301,"There's been a trend in food connoisseurs lately, hasn't it?",مؤخرا كانت حفلة، ياك؟,حدث مؤخراً انتشار في خبراء الطعام ، أليس كذلك ؟
302,It happened about six hours ago.,دازت ستة ديال السوايع دابا تقريباً.,قد حدثت منذ حوالي ست ساعات من الآن .
303,Delta Air Lines flight one one two. The ride time has been delayed.,ديلطا آير لاينز الرحلة واحد واحد جوج . الإقلاع تلغا.,رحلة الخطوط الجوية دلتا رقم واحد واحد اثنان . تم تأخير موعد الركوب .
304,Can you give me two for tonight?,واخا تعطيني غرفة ديال جوج ل ليوم؟,هل يمكنك أن تعطني اثنين لليلة ؟
305,"Could you write me a theft report to my insurance company, please?",واخا تكتب شي بيان علا السرقة للشركة ديال التأمين ديالي، عافاك؟,هل يمكن أن تكتب لي بلاغ عن سرقة شركة التأمين الخاصة بي ، من فضلك ؟
306,Since I am not skilled at using a camera. I think an easy-to-use camera might be best for me.,بما انني ضعيف فالكاميرا، كا نظن بلي الكاميرا الساهلة في التصوير تقدر تكون احسن ليا.,بما أنني غير ماهر باستخدام الكاميرا . فأنا أعتقد أن كاميرا سهلة الاستعمال ربما تكون الأفضل لي .
307,Is this the correct sidewalk for New York?,واش هادي هيا المنصة ل نيو يورك؟,هل هذا هو الرصيف الصحيح لنيويورك .
308,Enjoy your vacation.,دوز عطلة زوينة.,استمتع بإجازتك .
312,Please give me some gauze.,عافاك عطيني شوية ديال الفاصمة.,من فضلك أعطني بعض الشاش .
313,"I would like baked potatoes with sour cream, please.",بغيت بطاطا مشوية معا لاكريم حامضا.,أريد بطاطس مشوية وعليها قشدة حامضة الطعم ، من فضلك .
314,"Yes, every ten minutes.",آه، كل عشرا ديال الدقايق.,نعم ، كل عشر دقائق .
315,"One hamburger and one cheeseburger, please.",واحد همبرݣر و واحد تشيز بورݣر، عافاك.,واحد هامبرجر وواحد شيز برجر ، من فضلك .
319,How much do you charge to normalize film images?,شحال كاتطلب باش تدير العملية؟,كم تتقاضى لتطبيع صور الفيلم ؟
320,Each of us wants to be held accountable for our meal.,كل واحد فينا بغا يخلص على راسو.,كلا منا يريد أن يحاسب على وجبته .
322,I will pay the bill tomorrow morning.,غادي نخرج غدا في الصباح.,سأدفع الفاتورة صباح غد .
323,"I'm going there, too. How about we take a taxi together?",حتا انا غادي تما. ناخدو طاكسي بجوج؟,إني ذاهب إلى هناك ، أيضا . ما رأيك أن نأخذ سيارة أجرة معاً ؟
324,"Take a seat and get comfortable. Can I get you something to drink? Coffee, tea or soda?",اجلس و خود راحتك. نجيب ليك شي حاجة تشربها؟ قهوة، اتاي ولا مونادا؟,تفضل كرسي وخذ راحتك . هل أتي لك بشيء لتشربه ؟ قهوة ، شاي أم صودا ؟
325,It's great of you to say that.,هادشي لي قلت زوين بزاف.,أنه شيء رائع منك أن تقول ذلك .
326,The place was on a chair in the lobby.,الموقع كان فوق الكرسي في المراح.,المكان كان على كرسي في البهو .
327,"Roast beef, please.",لحم مشوي، عافاك.,لحم بقري مشوي ، من فضلك .
329,Will the table be ready?,وقتاش غادي تخوا شي طابلا؟,ستكون المائدة جاهزة ؟
331,Is it still possible for me to change my order? I prefer plaice instead of rock oysters.,واش مازال نقدر نبدل الطلب ديالي؟ بغيت الصول في بلاصت بوزروغ.,هل لازال متاح لي أن أغير طلبي ؟ أفضل سمك موسى بدلا من محار الصخر .
333,Please change these yens to pounds.,عافاك صرف هاد الين لجنيهات.,من فضلك غير هذه الينات إلى جنيهات .
